Team1,Team2,Team1_Win_Percentage,Team2_Win_Percentage
Brigham Young,Florida,0.0,100.0
Brigham Young,Florida Atlantic,0.8,99.2
Brigham Young,Gonzaga,0.01,99.99
Brigham Young,Grambling,100.0,0.0
Brigham Young,Grand Canyon,100.0,0.0
Brigham Young,Houston,100.0,0.0
Brigham Young,Howard,14.510000000000002,85.49
Brigham Young,Illinois,0.0,100.0
Brigham Young,Iowa State,100.0,0.0
Brigham Young,James Madison,100.0,0.0
Brigham Young,Kansas,100.0,0.0
Brigham Young,Kentucky,1.6,98.4
Brigham Young,Long Beach State,100.0,0.0
Brigham Young,Longwood,86.9,13.099999999999994
Brigham Young,Marquette,100.0,0.0
Brigham Young,McNeese State,99.85000000000001,0.14999999999999147
Brigham Young,Michigan State,100.0,0.0
Brigham Young,Mississippi State,99.96000000000001,0.03999999999999204
Brigham Young,Montana State,100.0,0.0
Brigham Young,Morehead State,85.39999999999999,14.600000000000009
Brigham Young,NC State,100.0,0.0
Brigham Young,Nebraska,100.0,0.0
Brigham Young,Nevada,100.0,0.0
Brigham Young,New Mexico,100.0,0.0
Brigham Young,North Carolina,99.96000000000001,0.03999999999999204
Brigham Young,Northwestern,100.0,0.0
Brigham Young,Oakland,100.0,0.0
Brigham Young,Oregon,100.0,0.0
Brigham Young,Purdue,0.0,100.0
Brigham Young,Saint Mary's (CA),90.7,9.299999999999997
Brigham Young,Saint Peter's,100.0,0.0
Brigham Young,Samford,93.75,6.25
Brigham Young,San Diego State,100.0,0.0
Brigham Young,South Carolina,99.97,0.030000000000001137
Brigham Young,South Dakota State,100.0,0.0
Brigham Young,Stetson,5.609999999999999,94.39
Brigham Young,TCU,81.74,18.260000000000005
Brigham Young,Tennessee,100.0,0.0
Brigham Young,Texas,100.0,0.0
Brigham Young,Texas A&M,0.0,100.0
Brigham Young,Texas Tech,99.1,0.9000000000000057
Brigham Young,UAB,0.16,99.84
Brigham Young,Utah State,99.99,0.010000000000005116
Brigham Young,Vermont,100.0,0.0
Brigham Young,Virginia,100.0,0.0
Brigham Young,Wagner,100.0,0.0
Brigham Young,Washington State,100.0,0.0
Brigham Young,Western Kentucky,100.0,0.0
Brigham Young,Wisconsin,97.36,2.6400000000000006
Brigham Young,Yale,100.0,0.0
Clemson,Colgate,100.0,0.0
Clemson,College of Charleston,0.0,100.0
Clemson,Colorado,0.0,100.0
Clemson,Colorado State,100.0,0.0
Clemson,Connecticut,0.0,100.0
Clemson,Creighton,31.840000000000003,68.16
Clemson,Dayton,65.16,34.84
Clemson,Drake,100.0,0.0
Clemson,Duke,0.06,99.94
Clemson,Duquesne,100.0,0.0
Clemson,Florida,0.0,100.0
Clemson,Florida Atlantic,0.0,100.0
Clemson,Gonzaga,0.0,100.0
Clemson,Grambling,100.0,0.0
Clemson,Grand Canyon,52.17,47.83
Clemson,Houston,99.97,0.030000000000001137
Clemson,Howard,0.0,100.0
Clemson,Illinois,0.0,100.0
Clemson,Iowa State,100.0,0.0
Clemson,James Madison,85.61999999999999,14.38000000000001
Clemson,Kansas,100.0,0.0
Clemson,Kentucky,0.0,100.0
Clemson,Long Beach State,83.55,16.450000000000003
Clemson,Longwood,0.01,99.99
Clemson,Marquette,100.0,0.0
Clemson,McNeese State,4.2700000000000005,95.73
Clemson,Michigan State,100.0,0.0
Clemson,Mississippi State,8.14,91.86
Clemson,Montana State,100.0,0.0
Clemson,Morehead State,0.0,100.0
Clemson,NC State,99.98,0.01999999999999602
Clemson,Nebraska,99.9,0.09999999999999432
Clemson,Nevada,99.99,0.010000000000005116
Clemson,New Mexico,99.64,0.35999999999999943
Clemson,North Carolina,11.82,88.18
Clemson,Northwestern,99.98,0.01999999999999602
Clemson,Oakland,63.68000000000001,36.31999999999999
Clemson,Oregon,91.62,8.379999999999995
Clemson,Purdue,0.0,100.0
Clemson,Saint Mary's (CA),0.09,99.91
Clemson,Saint Peter's,100.0,0.0
Clemson,Samford,0.08,99.92
Clemson,San Diego State,98.14,1.8599999999999994
Clemson,South Carolina,10.48,89.52
Clemson,South Dakota State,100.0,0.0
Clemson,Stetson,0.0,100.0
Clemson,TCU,0.0,100.0
Clemson,Tennessee,99.97,0.030000000000001137
Clemson,Texas,90.07,9.930000000000007
Clemson,Texas A&M,0.0,100.0
Clemson,Texas Tech,1.48,98.52
Clemson,UAB,0.0,100.0
Clemson,Utah State,28.610000000000003,71.39
Clemson,Vermont,100.0,0.0
Clemson,Virginia,100.0,0.0
Clemson,Wagner,100.0,0.0
Clemson,Washington State,69.58,30.42
Clemson,Western Kentucky,100.0,0.0
Clemson,Wisconsin,0.38,99.62
Clemson,Yale,99.98,0.01999999999999602
Colgate,College of Charleston,0.0,100.0
Colgate,Colorado,0.0,100.0
Colgate,Colorado State,0.0,100.0
Colgate,Connecticut,0.0,100.0
Colgate,Creighton,0.0,100.0
Colgate,Dayton,0.0,100.0
Colgate,Drake,0.0,100.0
Colgate,Duke,0.0,100.0
Colgate,Duquesne,0.0,100.0
Colgate,Florida,0.0,100.0
Colgate,Florida Atlantic,0.0,100.0
Colgate,Gonzaga,0.0,100.0
Colgate,Grambling,0.0,100.0
Colgate,Grand Canyon,0.0,100.0
Colgate,Houston,0.0,100.0
Colgate,Howard,0.0,100.0
Colgate,Illinois,0.0,100.0
Colgate,Iowa State,0.0,100.0
Colgate,James Madison,0.0,100.0
Colgate,Kansas,0.0,100.0
Colgate,Kentucky,0.0,100.0
Colgate,Long Beach State,0.0,100.0
Colgate,Longwood,0.0,100.0
Colgate,Marquette,0.0,100.0
Colgate,McNeese State,0.0,100.0
Colgate,Michigan State,0.0,100.0
Colgate,Mississippi State,0.0,100.0
Colgate,Montana State,7.249999999999999,92.75
Colgate,Morehead State,0.0,100.0
Colgate,NC State,0.0,100.0
Colgate,Nebraska,0.0,100.0
Colgate,Nevada,0.0,100.0
Colgate,New Mexico,0.0,100.0
Colgate,North Carolina,0.0,100.0
Colgate,Northwestern,0.0,100.0
Colgate,Oakland,0.0,100.0
Colgate,Oregon,0.0,100.0
Colgate,Purdue,0.0,100.0
Colgate,Saint Mary's (CA),0.0,100.0
Colgate,Saint Peter's,28.82,71.18
Colgate,Samford,0.0,100.0
Colgate,San Diego State,0.0,100.0
Colgate,South Carolina,0.0,100.0
Colgate,South Dakota State,0.0,100.0
Colgate,Stetson,0.0,100.0
Colgate,TCU,0.0,100.0
Colgate,Tennessee,0.0,100.0
Colgate,Texas,0.0,100.0
Colgate,Texas A&M,0.0,100.0
Colgate,Texas Tech,0.0,100.0
Colgate,UAB,0.0,100.0
Colgate,Utah State,0.0,100.0
Colgate,Vermont,97.21,2.7900000000000063
Colgate,Virginia,100.0,0.0
Colgate,Wagner,90.62,9.379999999999995
Colgate,Washington State,0.0,100.0
Colgate,Western Kentucky,0.0,100.0
Colgate,Wisconsin,0.0,100.0
Colgate,Yale,0.0,100.0
College of Charleston,Colorado,0.48,99.52
College of Charleston,Colorado State,100.0,0.0
College of Charleston,Connecticut,0.0,100.0
College of Charleston,Creighton,99.79,0.20999999999999375
College of Charleston,Dayton,100.0,0.0
College of Charleston,Drake,100.0,0.0
College of Charleston,Duke,59.599999999999994,40.400000000000006
College of Charleston,Duquesne,100.0,0.0
College of Charleston,Florida,0.0,100.0
College of Charleston,Florida Atlantic,0.02,99.98
College of Charleston,Gonzaga,0.0,100.0
College of Charleston,Grambling,100.0,0.0
College of Charleston,Grand Canyon,99.99,0.010000000000005116
College of Charleston,Houston,100.0,0.0
College of Charleston,Howard,1.69,98.31
College of Charleston,Illinois,0.0,100.0
College of Charleston,Iowa State,100.0,0.0
College of Charleston,James Madison,100.0,0.0
College of Charleston,Kansas,100.0,0.0
College of Charleston,Kentucky,0.06999999999999999,99.93
College of Charleston,Long Beach State,100.0,0.0
College of Charleston,Longwood,50.27,49.73
College of Charleston,Marquette,100.0,0.0
College of Charleston,McNeese State,95.59,4.409999999999997
College of Charleston,Michigan State,100.0,0.0
College of Charleston,Mississippi State,98.36,1.6400000000000006
College of Charleston,Montana State,100.0,0.0
College of Charleston,Morehead State,46.06,53.94
College of Charleston,NC State,100.0,0.0
College of Charleston,Nebraska,100.0,0.0
College of Charleston,Nevada,100.0,0.0
College of Charleston,New Mexico,100.0,0.0
College of Charleston,North Carolina,99.13,0.8700000000000045
College of Charleston,Northwestern,100.0,0.0
College of Charleston,Oakland,99.99,0.010000000000005116
College of Charleston,Oregon,100.0,0.0
College of Charleston,Purdue,0.0,100.0
